2.00000,2.00000,0.00000,112.945295,28.164779
1.97025,6.00972,1.5808,112.945301,28.164902
1.94058,11.4832,1.59469,112.94537,28.165133
1.76851,23.6592,1.57482,112.945367,28.165422
1.68306,34.7063,1.5808,112.945357,28.16565
1.95241,40.4087,1.5808,112.945359,28.165789
1.91194,46.9617,1.55539,112.945359,28.166002
1.84008,54.1421,1.58738,112.945359,28.166156
1.92841,60.37,1.5808,112.945362,28.166302
2.04208,69.084,1.55875,112.94536,28.166558
1.88709,79.5528,1.55004,112.945358,28.166816
1.65228,87.9619,-3.13159,112.945358,28.167143
